Date,Hour,MCP
03/10/2023,20,7605.5975
03/10/2023,21,5995.9575
03/10/2023,22,5932.895
03/10/2023,23,5313.21
03/10/2023,24,4625.3975
03/11/2023,1,4045.2425
03/11/2023,2,3992.2975
03/11/2023,3,3646.6099999999997
03/11/2023,4,3596.585
03/11/2023,5,3786.2825000000003
03/11/2023,6,4372.12
03/11/2023,7,4867.7925
03/11/2023,8,5059.2175
03/11/2023,9,4458.02
03/11/2023,10,4245.0375
03/11/2023,11,3670.48
03/11/2023,12,3600.19
03/11/2023,13,3407.23
03/11/2023,14,3221.84
03/11/2023,15,3596.345
03/11/2023,16,4226.1325
03/11/2023,17,4950.4925
03/11/2023,18,9744.4375
03/11/2023,19,10000.0
03/11/2023,20,6619.365
03/11/2023,21,4017.8425
03/11/2023,22,4060.0825
03/11/2023,23,4038.5525000000002
03/11/2023,24,4039.0825
03/12/2023,1,2984.4475
03/12/2023,2,2930.3875
03/12/2023,3,2629.1675
03/12/2023,4,2467.0375
03/12/2023,5,2751.79
03/12/2023,6,3104.3175
03/12/2023,7,3462.395
03/12/2023,8,3630.3975
03/12/2023,9,3681.1675
03/12/2023,10,3353.3425
03/12/2023,11,2765.5375000000004
03/12/2023,12,2845.5474999999997
03/12/2023,13,2487.23
03/12/2023,14,2308.615
03/12/2023,15,2675.04
03/12/2023,16,3030.4475
03/12/2023,17,3401.715
03/12/2023,18,4111.3775000000005
03/12/2023,19,4061.69
03/12/2023,20,3107.2174999999997
03/12/2023,21,3084.3875
03/12/2023,22,3065.7425
03/12/2023,23,2825.38
03/12/2023,24,2690.03
04/01/2024,1,2858.0025
04/01/2024,2,2460.86
04/01/2024,3,2198.7025
04/01/2024,4,2000.085
04/01/2024,5,2307.9875
04/01/2024,6,3035.0
04/01/2024,7,4014.7225
04/01/2024,8,8817.59
04/01/2024,9,10000.0
04/01/2024,10,10000.0
04/01/2024,11,10000.0
04/01/2024,12,7125.25
04/01/2024,13,4874.9225
04/01/2024,14,3636.7925
04/01/2024,15,3676.8375
04/01/2024,16,3980.5125000000003
04/01/2024,17,7442.775
04/01/2024,18,10000.0
04/01/2024,19,10000.0
04/01/2024,20,10000.0
04/01/2024,21,5342.3675
04/01/2024,22,3853.9875
04/01/2024,23,3095.36
04/01/2024,24,3073.5125
04/02/2024,1,3053.8275
04/02/2024,2,2752.75
04/02/2024,3,2445.65
04/02/2024,4,2200.785
04/02/2024,5,2461.15
04/02/2024,6,2901.4775
04/02/2024,7,4186.9175
04/02/2024,8,8000.0675
04/02/2024,9,10000.0
04/02/2024,10,5857.315
04/02/2024,11,4025.8050000000003
04/02/2024,12,4001.8025
04/02/2024,13,3680.975
04/02/2024,14,3552.395
04/02/2024,15,3450.08
04/02/2024,16,3591.8175
04/02/2024,17,3791.1825
04/02/2024,18,5009.485
04/02/2024,19,5177.5599999999995
04/02/2024,20,6075.8125
04/02/2024,21,4152.7875
04/02/2024,22,4152.7725
04/02/2024,23,3630.0125
04/02/2024,24,3120.6549999999997
04/03/2024,1,3150.615
04/03/2024,2,2956.8775
04/03/2024,3,2838.4925000000003
04/03/2024,4,2814.9875
04/03/2024,5,2837.3824999999997
04/03/2024,6,3278.2425
04/03/2024,7,3833.54
04/03/2024,8,5285.06
04/03/2024,9,5044.7475
04/03/2024,10,4398.985
04/03/2024,11,3612.3425
04/03/2024,12,3464.6725
04/03/2024,13,3360.2075
04/03/2024,14,2844.01
04/03/2024,15,3236.3
04/03/2024,16,3405.805
04/03/2024,17,3963.1975
04/03/2024,18,3658.43
04/03/2024,19,4244.525
04/03/2024,20,4587.3525
04/03/2024,21,4017.165
04/03/2024,22,3679.625
04/03/2024,23,3541.6475
04/03/2024,24,3549.0074999999997
04/04/2023,1,4933.797500000001
04/04/2023,2,4650.68
04/04/2023,3,4253.8775000000005
04/04/2023,4,4161.855
04/04/2023,5,4617.4
04/04/2023,6,5489.4775
04/04/2023,7,5051.585
